puerto,estado
1,(filtrado)
2,(filtrado)
3,(filtrado)
4,(filtrado)
5,(filtrado)
6,(filtrado)
7,(filtrado)
8,(filtrado)
9,(filtrado)
10,(filtrado)
11,(filtrado)
12,(filtrado)
13,(filtrado)
14,(filtrado)
15,(filtrado)
16,(filtrado)
17,(filtrado)
18,(filtrado)
19,(filtrado)
20,(filtrado)
21,(filtrado)
22,(filtrado)
23,(filtrado)
24,(filtrado)
25,(filtrado)
26,(filtrado)
27,(filtrado)
28,(filtrado)
29,(filtrado)
30,(filtrado)
31,(filtrado)
32,(filtrado)
33,(filtrado)
34,(filtrado)
35,(filtrado)
36,(filtrado)
37,(filtrado)
38,(filtrado)
39,(filtrado)
40,(filtrado)
41,(filtrado)
42,(filtrado)
43,(filtrado)
44,(filtrado)
45,(filtrado)
46,(filtrado)
47,(filtrado)
48,(filtrado)
49,(filtrado)
50,(filtrado)
51,(filtrado)
52,(filtrado)
53,(filtrado)
54,(filtrado)
55,(filtrado)
56,(filtrado)
57,(filtrado)
58,(filtrado)
59,(filtrado)
60,(filtrado)
61,(filtrado)
62,(filtrado)
63,(filtrado)
64,(filtrado)
65,(filtrado)
66,(filtrado)
67,(filtrado)
68,(filtrado)
69,(filtrado)
70,(filtrado)
71,(filtrado)
72,(filtrado)
73,(filtrado)
74,(filtrado)
75,(filtrado)
76,(filtrado)
77,(filtrado)
78,(filtrado)
79,(filtrado)
80,(filtrado)
81,(filtrado)
82,(filtrado)
83,(filtrado)
84,(filtrado)
85,(filtrado)
86,(filtrado)
87,(filtrado)
88,(filtrado)
89,(filtrado)
90,(filtrado)
91,(filtrado)
92,(filtrado)
93,(filtrado)
94,(filtrado)
95,(filtrado)
96,(filtrado)
97,(filtrado)
98,(filtrado)
99,(filtrado)
100,(filtrado)
101,(filtrado)
102,(filtrado)
103,(filtrado)
104,(filtrado)
105,(filtrado)
106,(filtrado)
107,(filtrado)
108,(filtrado)
109,(filtrado)
110,(filtrado)
111,(filtrado)
112,(filtrado)
113,(filtrado)
114,(filtrado)
115,(filtrado)
116,(filtrado)
117,(filtrado)
118,(filtrado)
119,(filtrado)
120,(filtrado)
121,(filtrado)
122,(filtrado)
123,(filtrado)
124,(filtrado)
125,(filtrado)
126,(filtrado)
127,(filtrado)
128,(filtrado)
129,(filtrado)
130,(filtrado)
131,(filtrado)
132,(filtrado)
133,(filtrado)
134,(filtrado)
135,(filtrado)
136,(filtrado)
137,(filtrado)
138,(filtrado)
139,(filtrado)
140,(filtrado)
141,(filtrado)
142,(filtrado)
143,(filtrado)
144,(filtrado)
145,(filtrado)
146,(filtrado)
147,(filtrado)
148,(filtrado)
149,(filtrado)
150,(filtrado)
151,(filtrado)
152,(filtrado)
153,(filtrado)
154,(filtrado)
155,(filtrado)
156,(filtrado)
157,(filtrado)
158,(filtrado)
159,(filtrado)
160,(filtrado)
161,(filtrado)
162,(filtrado)
163,(filtrado)
164,(filtrado)
165,(filtrado)
166,(filtrado)
167,(filtrado)
168,(filtrado)
169,(filtrado)
