puerto,estado
1,(filtrado)
2,(abierto)
3,(abierto)
4,(abierto)
5,(abierto)
6,(abierto)
7,(abierto)
8,(abierto)
9,(abierto)
10,(abierto)
11,(abierto)
12,(abierto)
13,(abierto)
14,(abierto)
15,(abierto)
16,(abierto)
17,(abierto)
18,(abierto)
19,(abierto)
20,(abierto)
21,(abierto)
22,(abierto)
23,(abierto)
24,(abierto)
25,(abierto)
26,(abierto)
27,(abierto)
28,(abierto)
29,(abierto)
30,(abierto)
31,(abierto)
32,(abierto)
33,(abierto)
34,(abierto)
35,(abierto)
36,(abierto)
37,(abierto)
38,(abierto)
39,(abierto)
40,(abierto)
41,(abierto)
42,(abierto)
43,(abierto)
44,(abierto)
45,(abierto)
46,(abierto)
47,(abierto)
48,(abierto)
49,(abierto)
50,(abierto)
51,(abierto)
52,(abierto)
53,(abierto)
54,(abierto)
55,(abierto)
56,(abierto)
57,(abierto)
58,(abierto)
59,(abierto)
60,(abierto)
61,(abierto)
62,(abierto)
63,(abierto)
64,(abierto)
65,(abierto)
66,(abierto)
67,(abierto)
68,(abierto)
69,(abierto)
70,(abierto)
71,(abierto)
72,(abierto)
73,(abierto)
74,(abierto)
75,(abierto)
76,(abierto)
77,(abierto)
78,(abierto)
79,(abierto)
80,(abierto)
81,(abierto)
82,(abierto)
83,(abierto)
84,(abierto)
85,(abierto)
86,(abierto)
87,(abierto)
88,(abierto)
89,(abierto)
90,(abierto)
91,(abierto)
92,(abierto)
93,(abierto)
94,(abierto)
95,(abierto)
96,(abierto)
97,(abierto)
98,(abierto)
99,(abierto)
100,(abierto)
101,(abierto)
102,(abierto)
103,(abierto)
104,(abierto)
105,(abierto)
106,(abierto)
107,(abierto)
108,(abierto)
109,(abierto)
110,(abierto)
111,(abierto)
112,(abierto)
113,(abierto)
114,(abierto)
115,(abierto)
116,(abierto)
117,(abierto)
118,(abierto)
119,(abierto)
120,(abierto)
121,(abierto)
122,(abierto)
123,(abierto)
124,(abierto)
125,(abierto)
126,(abierto)
127,(abierto)
128,(abierto)
129,(abierto)
130,(abierto)
131,(abierto)
132,(abierto)
133,(abierto)
134,(abierto)
135,(filtrado)
136,(abierto)
137,(filtrado)
138,(filtrado)
139,(filtrado)
140,(abierto)
141,(abierto)
142,(abierto)
143,(abierto)
144,(abierto)
145,(abierto)
146,(abierto)
147,(abierto)
148,(abierto)
149,(abierto)
150,(abierto)
151,(abierto)
152,(abierto)
153,(abierto)
154,(abierto)
155,(abierto)
156,(abierto)
157,(abierto)
158,(abierto)
159,(abierto)
160,(abierto)
161,(abierto)
162,(abierto)
163,(abierto)
164,(abierto)
165,(abierto)
166,(abierto)
167,(abierto)
168,(abierto)
169,(abierto)
170,(abierto)
171,(abierto)
172,(abierto)
173,(abierto)
174,(abierto)
175,(abierto)
176,(abierto)
177,(abierto)
178,(abierto)
179,(abierto)
180,(abierto)
181,(abierto)
182,(abierto)
183,(abierto)
184,(abierto)
185,(abierto)
186,(abierto)
187,(abierto)
188,(abierto)
189,(abierto)
190,(abierto)
191,(abierto)
192,(abierto)
193,(abierto)
194,(abierto)
195,(abierto)
196,(abierto)
197,(abierto)
198,(abierto)
199,(abierto)
200,(abierto)
201,(abierto)
202,(abierto)
203,(abierto)
204,(abierto)
205,(abierto)
206,(abierto)
207,(abierto)
208,(abierto)
209,(abierto)
210,(abierto)
211,(abierto)
212,(abierto)
213,(abierto)
214,(abierto)
215,(abierto)
216,(abierto)
217,(abierto)
218,(abierto)
219,(abierto)
220,(abierto)
221,(abierto)
222,(abierto)
223,(abierto)
224,(abierto)
225,(abierto)
226,(abierto)
227,(abierto)
228,(abierto)
229,(abierto)
230,(abierto)
231,(abierto)
232,(abierto)
233,(abierto)
234,(abierto)
235,(abierto)
236,(abierto)
237,(abierto)
238,(abierto)
239,(abierto)
240,(abierto)
241,(abierto)
242,(abierto)
243,(abierto)
244,(abierto)
245,(abierto)
246,(abierto)
247,(abierto)
248,(abierto)
249,(abierto)
250,(abierto)
251,(abierto)
252,(abierto)
253,(abierto)
254,(abierto)
255,(abierto)
256,(abierto)
257,(abierto)
258,(abierto)
259,(abierto)
260,(abierto)
261,(abierto)
262,(abierto)
263,(abierto)
264,(abierto)
265,(abierto)
266,(abierto)
267,(abierto)
268,(abierto)
269,(abierto)
270,(abierto)
271,(abierto)
272,(abierto)
273,(abierto)
274,(abierto)
275,(abierto)
276,(abierto)
277,(abierto)
278,(abierto)
279,(abierto)
280,(abierto)
281,(abierto)
282,(abierto)
283,(abierto)
284,(abierto)
285,(abierto)
286,(abierto)
287,(abierto)
288,(abierto)
289,(abierto)
290,(abierto)
291,(abierto)
292,(abierto)
293,(abierto)
294,(abierto)
295,(abierto)
296,(abierto)
297,(abierto)
298,(abierto)
299,(abierto)
300,(abierto)
301,(abierto)
302,(abierto)
303,(abierto)
304,(abierto)
305,(abierto)
306,(abierto)
307,(abierto)
308,(abierto)
309,(abierto)
310,(abierto)
311,(abierto)
312,(abierto)
313,(abierto)
314,(abierto)
315,(abierto)
316,(abierto)
317,(abierto)
318,(abierto)
319,(abierto)
320,(abierto)
321,(abierto)
322,(abierto)
323,(abierto)
324,(abierto)
325,(abierto)
326,(abierto)
327,(abierto)
328,(abierto)
329,(abierto)
330,(abierto)
331,(abierto)
332,(abierto)
333,(abierto)
334,(abierto)
335,(abierto)
336,(abierto)
337,(abierto)
338,(abierto)
339,(abierto)
340,(abierto)
341,(abierto)
342,(abierto)
343,(abierto)
344,(abierto)
345,(abierto)
346,(abierto)
347,(abierto)
348,(abierto)
349,(abierto)
350,(abierto)
351,(abierto)
352,(abierto)
353,(abierto)
354,(abierto)
355,(abierto)
356,(abierto)
357,(abierto)
358,(abierto)
359,(abierto)
360,(abierto)
361,(abierto)
362,(abierto)
363,(abierto)
364,(abierto)
365,(abierto)
366,(abierto)
367,(abierto)
368,(abierto)
369,(abierto)
370,(abierto)
371,(abierto)
372,(abierto)
373,(abierto)
374,(abierto)
375,(abierto)
376,(abierto)
377,(abierto)
378,(abierto)
379,(abierto)
380,(abierto)
381,(abierto)
382,(abierto)
383,(abierto)
384,(abierto)
385,(abierto)
386,(abierto)
387,(abierto)
388,(abierto)
389,(abierto)
390,(abierto)
391,(abierto)
392,(abierto)
393,(abierto)
394,(abierto)
395,(abierto)
396,(abierto)
397,(abierto)
398,(abierto)
399,(abierto)
400,(abierto)
401,(abierto)
402,(abierto)
403,(abierto)
404,(abierto)
405,(abierto)
406,(abierto)
407,(abierto)
408,(abierto)
409,(abierto)
410,(abierto)
411,(abierto)
412,(abierto)
413,(abierto)
414,(abierto)
415,(abierto)
416,(abierto)
417,(abierto)
418,(abierto)
419,(abierto)
420,(abierto)
421,(abierto)
422,(abierto)
423,(abierto)
424,(abierto)
425,(abierto)
426,(abierto)
427,(abierto)
428,(abierto)
429,(abierto)
430,(abierto)
431,(abierto)
432,(abierto)
433,(abierto)
434,(abierto)
435,(abierto)
436,(abierto)
437,(abierto)
438,(abierto)
439,(abierto)
440,(abierto)
441,(abierto)
442,(abierto)
443,(abierto)
444,(abierto)
445,(filtrado)
446,(abierto)
447,(abierto)
448,(abierto)
449,(abierto)
450,(abierto)
451,(abierto)
452,(abierto)
453,(abierto)
454,(abierto)
455,(abierto)
456,(abierto)
457,(abierto)
458,(abierto)
459,(abierto)
460,(abierto)
461,(abierto)
462,(abierto)
463,(abierto)
464,(abierto)
465,(abierto)
466,(abierto)
467,(abierto)
468,(abierto)
469,(abierto)
470,(abierto)
471,(abierto)
472,(abierto)
473,(abierto)
474,(abierto)
475,(abierto)
476,(abierto)
477,(abierto)
478,(abierto)
479,(abierto)
480,(abierto)
481,(abierto)
482,(abierto)
483,(abierto)
484,(abierto)
485,(abierto)
486,(abierto)
487,(abierto)
488,(abierto)
489,(abierto)
490,(abierto)
491,(abierto)
492,(abierto)
493,(abierto)
494,(abierto)
495,(abierto)
496,(abierto)
497,(abierto)
498,(abierto)
499,(abierto)
500,(abierto)
501,(abierto)
502,(abierto)
503,(abierto)
504,(abierto)
505,(abierto)
506,(abierto)
507,(abierto)
508,(abierto)
509,(abierto)
510,(abierto)
511,(abierto)
512,(abierto)
513,(abierto)
514,(abierto)
515,(abierto)
516,(abierto)
517,(abierto)
518,(abierto)
519,(abierto)
