ttl,ip,RTT
1,*,1.0061752796173096
2,*,1.0143017768859863
3,*,1.0055241584777832
4,*,1.0031399726867676
5,*,1.005739688873291
6,*,1.003019094467163
7,*,1.0034754276275635
8,*,1.004054307937622
9,*,1.0024821758270264
10,*,1.0055749416351318
11,*,1.0051510334014893
12,*,1.0040628910064697
13,*,1.00319242477417
14,*,1.007106065750122
15,*,1.0018110275268555
16,*,1.0032575130462646
17,*,1.0069761276245117
18,*,1.0000531673431396
19,*,1.0042140483856201
20,*,1.0041491985321045
21,*,1.001767635345459
22,*,1.007516622543335
23,*,1.00532865524292
24,*,1.0010621547698975
25,*,1.0038108825683594
26,*,1.012359380722046
27,*,1.0077786445617676
28,*,1.0245332717895508
29,*,1.0053601264953613
30,*,1.0186376571655273
31,*,1.0390727519989014
32,*,1.0043773651123047
33,*,1.0207664966583252
34,*,1.0024676322937012
35,*,0.0
36,*,1.008974552154541
37,*,1.0092172622680664
38,*,1.0054881572723389
39,*,1.0294883251190186
