ttl,ip,RTT
1,192.168.0.1,0.11387109756469727
2,*,1.0555212497711182
3,*,1.0820801258087158
4,*,1.0550594329833984
5,*,1.0510268211364746
6,*,1.0469200611114502
7,195.22.220.56,0.06238436698913574
8,*,1.050999641418457
9,195.22.199.79,0.19111156463623047
10,*,1.050872802734375
11,*,1.063298225402832
12,*,1.0390315055847168
13,*,1.047459363937378
14,*,1.0590996742248535
15,*,1.0550472736358643
16,*,1.0583901405334473
17,*,1.0550322532653809
18,*,1.0707521438598633
19,52.93.133.150,0.22228193283081055
20,*,1.059929609298706
21,*,1.0505344867706299
22,*,1.051011085510254
23,*,1.0709259510040283
24,*,1.0385565757751465
25,*,1.0672826766967773
26,*,1.0509896278381348
27,*,1.0390934944152832
28,*,1.0589425563812256
29,*,1.0514802932739258
30,*,1.066321611404419
31,*,1.0672194957733154
32,*,1.074601650238037
33,*,1.0548927783966064
34,52.94.236.248,0.24733424186706543
