ttl,ip,RTT
1,192.168.0.1,0.06580400466918945
2,*,0.5512681007385254
3,*,0.5474605560302734
4,*,0.5391552448272705
5,*,0.5431027412414551
6,*,0.5511393547058105
7,195.22.220.56,0.0671689510345459
8,195.22.199.65,0.18326663970947266
9,4.68.62.57,0.19112491607666016
10,*,0.5472393035888672
11,212.187.216.238,0.270977258682251
12,146.97.35.193,0.29920387268066406
13,146.97.33.62,0.29927492141723633
14,146.97.33.29,0.2830934524536133
15,146.97.35.246,0.29918646812438965
16,146.97.41.38,0.31554532051086426
17,131.111.7.82,0.298994779586792
18,193.60.88.6,0.30728578567504883
19,193.60.88.6,0.27471375465393066
20,128.232.128.6,0.2913637161254883
21,128.232.128.10,0.283184289932251
22,128.232.132.8,0.2954285144805908
