ttl,ip,RTT
1,192.168.0.1,0.12249112129211426
2,*,1.0592963695526123
3,*,1.0395395755767822
4,*,1.05869460105896
5,*,1.0634307861328125
6,*,1.0539829730987549
7,195.22.220.56,0.07485628128051758
8,195.22.219.3,0.09499692916870117
9,149.3.181.65,0.10319805145263672
10,129.250.5.24,0.09080672264099121
11,129.250.2.12,0.2069995403289795
12,129.250.6.17,0.20282888412475586
13,129.250.2.166,0.2155933380126953
14,129.250.4.88,0.2536942958831787
15,192.80.17.198,0.238525390625
16,208.80.153.223,0.21884918212890625
17,208.80.153.224,0.2345280647277832
