ttl,ip,RTT
1,192.168.0.1,0.11590981483459473
2,*,1.0475585460662842
3,*,1.0435447692871094
4,*,1.0354094505310059
5,*,1.0434234142303467
6,*,1.027604579925537
7,195.22.220.56,0.05544757843017578
8,*,1.031571388244629
9,195.22.199.33,0.26748108863830566
10,129.250.2.5,0.2233743667602539
11,*,1.0275208950042725
12,*,1.051497220993042
13,129.250.3.219,0.2795259952545166
14,129.250.3.192,0.427457332611084
15,*,1.0555133819580078
16,*,1.0634877681732178
17,129.250.6.123,0.4275386333465576
18,203.131.254.214,0.4034862518310547
19,101.4.114.221,0.4233872890472412
20,101.4.116.121,0.49132871627807617
21,*,1.0435097217559814
22,101.4.117.81,0.43143630027770996
23,101.4.116.94,0.4715280532836914
24,101.4.117.134,0.4113786220550537
25,202.112.41.181,0.4115891456604004
26,*,1.0354607105255127
27,*,1.0474092960357666
28,162.105.253.58,0.4756326675415039
29,*,1.0394294261932373
30,*,1.0594983100891113
31,*,1.0395245552062988
32,*,1.031489372253418
33,*,1.0393941402435303
34,*,1.035592794418335
35,*,1.0514283180236816
36,*,1.0354399681091309
37,*,1.0633220672607422
38,*,1.0432155132293701
39,*,1.047356367111206
40,*,1.0593366622924805
41,*,1.0315780639648438
42,*,1.0475537776947021
43,*,1.027557373046875
44,*,1.0632226467132568
45,*,1.0473039150238037
46,*,1.0633199214935303
47,*,1.059619426727295
48,*,1.0552482604980469
49,*,1.0553388595581055
50,*,1.0714244842529297
51,*,1.0761213302612305
52,*,1.067634105682373
53,*,1.06317138671875
54,*,1.059305191040039
55,*,1.0592076778411865
56,*,1.0512769222259521
57,*,1.0510532855987549
58,*,1.055504560470581
59,*,1.0594151020050049
60,*,1.067429780960083
61,*,1.059617042541504
62,*,1.043468952178955
63,*,1.047438144683838
64,*,1.0475883483886719
65,*,1.0392241477966309
66,*,1.0392191410064697
67,*,1.0355784893035889
68,*,1.0355451107025146
69,*,1.0431349277496338
70,*,1.0318210124969482
71,*,1.0389256477355957
72,*,1.0515100955963135
73,*,1.0475084781646729
74,*,1.0434820652008057
75,*,1.039360523223877
76,*,1.0355556011199951
77,*,1.043365478515625
78,*,1.032012939453125
79,*,1.0511913299560547
80,*,1.0551443099975586
81,*,1.0474812984466553
82,*,1.031466007232666
83,*,1.0314908027648926
84,*,1.0434248447418213
85,*,1.0394682884216309
86,*,1.039602518081665
87,*,1.0434651374816895
88,*,1.0475471019744873
89,*,1.0435431003570557
90,*,1.0434749126434326
91,*,1.047609806060791
92,*,1.0556418895721436
93,*,1.051539659500122
94,*,1.0549819469451904
95,*,1.0514373779296875
96,*,1.0516483783721924
97,*,1.0594818592071533
98,*,1.0439493656158447
99,*,1.0470590591430664
100,*,1.0518364906311035
101,*,1.0591282844543457
102,*,1.035642147064209
103,*,1.0515646934509277
104,*,1.055633783340454
105,*,1.0710949897766113
106,*,1.0312554836273193
107,*,1.0835018157958984
108,*,1.059556007385254
109,*,1.0515527725219727
110,*,1.0515780448913574
111,*,1.047468900680542
112,*,1.055405855178833
113,*,1.055537223815918
114,*,1.0354576110839844
115,*,1.0514440536499023
116,*,1.055448055267334
117,*,1.0474753379821777
118,*,1.055570125579834
119,*,1.0395410060882568
120,*,1.0393970012664795
121,*,1.0396623611450195
122,*,1.0434746742248535
123,*,1.0473666191101074
124,*,1.0632646083831787
125,*,1.0555663108825684
126,*,1.1151041984558105
127,*,1.0633680820465088
128,*,1.0637717247009277
129,*,1.0349156856536865
130,*,1.0597076416015625
131,*,1.055361270904541
132,*,1.047208309173584
133,*,1.0479869842529297
134,*,1.0509719848632812
135,*,1.0396993160247803
136,*,1.0474588871002197
137,*,1.0474953651428223
138,*,1.0589075088500977
139,*,1.0556130409240723
140,*,1.0438885688781738
141,*,1.0508506298065186
142,*,1.047588586807251
143,*,1.0515074729919434
144,*,1.047600269317627
145,*,1.059436559677124
146,*,1.0435998439788818
147,*,1.043962001800537
148,*,1.0350594520568848
149,*,1.055478811264038
150,*,1.0674030780792236
151,*,1.0437312126159668
152,*,1.0478076934814453
153,*,1.0355548858642578
154,*,1.0790348052978516
155,*,1.0515122413635254
156,*,1.0593528747558594
157,*,1.0396945476531982
158,*,1.055030345916748
159,*,1.059938669204712
160,*,1.039085865020752
161,*,1.0636425018310547
162,*,1.042971134185791
163,*,1.0717847347259521
164,*,1.0549445152282715
165,*,1.035513162612915
166,*,1.0514700412750244
167,*,1.059570550918579
168,*,1.0590271949768066
169,*,1.0435798168182373
170,*,1.0595746040344238
171,*,1.0434362888336182
172,*,1.047220230102539
173,*,1.055328130722046
174,*,1.0515708923339844
175,*,1.0554544925689697
176,*,1.0475494861602783
177,*,1.0715844631195068
178,*,1.0592877864837646
179,*,1.0440247058868408
180,*,1.0509629249572754
181,*,1.0635957717895508
182,*,1.0394952297210693
183,*,1.047281265258789
184,*,1.0675740242004395
185,*,1.0593969821929932
186,*,1.0434644222259521
187,*,1.0555384159088135
188,*,1.0519905090332031
189,*,1.0355162620544434
190,*,1.0589637756347656
191,*,1.0559675693511963
192,*,1.0510227680206299
193,*,1.039543867111206
194,*,1.0354008674621582
195,*,1.051462173461914
196,*,1.0274863243103027
197,*,1.059211015701294
198,*,1.0399296283721924
199,*,1.0550756454467773
200,*,1.0392777919769287
201,*,1.0395464897155762
202,*,1.0435090065002441
203,*,1.0474092960357666
204,*,1.060023307800293
205,*,1.0749037265777588
206,*,1.051253318786621
207,*,1.0831937789916992
208,*,1.0674834251403809
209,*,1.0434887409210205
210,*,1.0473155975341797
211,*,1.047903299331665
212,*,1.0548763275146484
213,*,1.0716629028320312
