ttl,ip,RTT
1,192.168.0.1,0.13097548484802246
2,*,1.0555644035339355
3,*,1.0394246578216553
4,*,1.0355160236358643
5,*,1.0555500984191895
6,*,1.0434699058532715
7,195.22.220.56,0.055515289306640625
8,195.22.223.128,0.37133002281188965
9,*,1.0392165184020996
10,*,1.0514862537384033
11,129.250.2.50,0.3553941249847412
12,129.250.6.127,0.43146657943725586
13,203.105.72.58,0.383497953414917
14,*,1.0475704669952393
15,*,1.0514624118804932
16,101.203.107.46,0.37143468856811523
17,203.178.139.36,0.3995063304901123
18,131.113.4.185,0.41161274909973145
19,131.113.1.169,0.3393988609313965
20,131.113.132.139,0.3756062984466553
21,*,1.0553953647613525
22,*,1.0393915176391602
23,*,1.0436558723449707
24,*,1.0394480228424072
25,*,1.0352978706359863
26,*,1.0436251163482666
27,*,1.0393848419189453
28,*,1.0395629405975342
29,*,1.0356905460357666
30,*,1.0353600978851318
31,*,1.0514631271362305
32,*,1.0396747589111328
33,*,1.0512518882751465
34,*,1.0396523475646973
35,*,1.0394198894500732
36,*,1.0353808403015137
37,*,1.0474803447723389
38,*,1.0354783535003662
39,*,1.0355017185211182
40,*,1.031398057937622
41,*,1.0436456203460693
42,*,1.0435130596160889
43,*,1.043489694595337
44,*,1.0514249801635742
45,*,1.031337022781372
46,*,1.0435945987701416
47,*,1.0313646793365479
48,*,1.0435590744018555
49,*,1.0353107452392578
50,*,1.0356364250183105
51,*,1.0473828315734863
52,*,1.0436410903930664
53,*,1.0633571147918701
54,*,1.031437635421753
55,*,1.035475730895996
56,*,1.0434417724609375
57,*,1.0394961833953857
58,*,1.0316097736358643
59,*,1.0395514965057373
60,*,1.031540870666504
61,*,1.0354633331298828
62,*,1.0474786758422852
63,*,1.0356714725494385
64,*,1.055398941040039
65,*,1.039334774017334
66,*,0.83949875831604
67,*,0.5035436153411865
