ttl,ip,RTT
1,192.168.0.1,0.12267732620239258
2,*,1.0554077625274658
3,*,1.071545124053955
4,*,1.0395088195800781
5,*,1.0355188846588135
6,*,1.031386137008667
7,195.22.220.56,0.07544994354248047
8,8.243.0.5,0.0673525333404541
9,200.189.207.2,0.10332584381103516
10,*,1.0551557540893555
11,64.76.143.170,0.07555866241455078
12,*,1.0434563159942627
13,*,1.0510740280151367
14,*,1.0555567741394043
15,*,1.0592718124389648
16,*,1.0435006618499756
17,*,1.0394389629364014
18,*,1.0354759693145752
19,*,1.0315616130828857
20,*,1.0354158878326416
21,*,1.0516152381896973
22,*,1.0394392013549805
23,*,1.0395312309265137
24,*,1.0434596538543701
25,*,1.0515148639678955
26,*,1.0474727153778076
27,*,1.0675737857818604
28,*,1.0515344142913818
29,*,1.0314154624938965
30,*,1.0552983283996582
31,*,1.0394608974456787
32,*,1.0393872261047363
33,*,1.0354254245758057
34,*,1.039388656616211
35,*,1.0594160556793213
36,*,1.0396239757537842
37,*,1.0513601303100586
38,*,1.0672078132629395
39,*,1.05147123336792
40,*,1.031446933746338
41,*,1.035459041595459
42,*,1.063655138015747
43,*,1.0473790168762207
44,*,1.0632376670837402
45,*,1.051436185836792
46,*,1.0795691013336182
47,*,1.0474522113800049
48,*,1.047605037689209
49,*,1.0595118999481201
50,*,1.0473721027374268
51,*,1.0594735145568848
52,*,1.051253080368042
53,*,1.0554063320159912
54,*,1.0504512786865234
55,*,1.063295841217041
56,*,1.0671467781066895
57,*,1.0630483627319336
58,*,1.0675406455993652
59,*,1.0553498268127441
60,*,1.0514163970947266
61,*,1.0754034519195557
62,*,1.0472979545593262
63,*,1.043591022491455
64,*,1.0353593826293945
65,*,1.0675506591796875
66,*,1.0435442924499512
67,*,1.035473346710205
68,*,1.0514378547668457
69,*,1.0594263076782227
70,*,1.0595307350158691
71,*,1.055574655532837
72,*,1.0434906482696533
73,*,1.0353877544403076
74,*,1.0394830703735352
75,*,1.0557012557983398
