ttl,ip,RTT
1,192.168.0.1,0.13980674743652344
2,*,1.0474209785461426
3,*,1.0594971179962158
4,*,1.063554048538208
5,*,1.039975881576538
6,*,1.0511534214019775
7,195.22.220.56,0.0634458065032959
8,*,1.0473313331604004
9,149.3.181.65,0.10364246368408203
10,129.250.2.196,0.22354865074157715
11,129.250.7.46,0.3033127784729004
12,157.238.179.26,0.30762815475463867
13,23.207.239.34,0.20762920379638672
14,23.32.63.12,0.3032829761505127
15,23.207.230.41,0.3075385093688965
16,23.203.147.41,0.303164005279541
17,*,1.0315632820129395
18,*,1.0714302062988281
19,*,1.0594403743743896
20,72.14.185.43,0.3119983673095703
