ttl,ip,RTT
1,*,1.11112642288208
2,*,1.0434308052062988
3,*,1.0548045635223389
4,*,1.0582098960876465
5,*,1.062896728515625
6,*,1.047006368637085
7,195.22.220.56,0.06321525573730469
8,8.243.0.5,0.055040597915649414
9,200.189.207.10,0.09482455253601074
10,*,1.0591328144073486
11,*,1.0713200569152832
12,64.76.143.170,0.08723926544189453
13,*,1.055516242980957
14,*,1.0520594120025635
15,*,1.0471134185791016
16,*,1.0591676235198975
17,*,1.0430376529693604
18,*,1.0556557178497314
19,*,1.0729687213897705
20,*,1.0807251930236816
21,*,1.0569322109222412
22,*,1.0634739398956299
23,*,1.0587730407714844
24,*,1.0781865119934082
25,*,1.083186149597168
26,*,1.0675296783447266
27,*,1.0669310092926025
28,*,1.0663747787475586
29,*,1.0744528770446777
30,*,1.0543150901794434
31,*,1.0624024868011475
32,*,1.0627999305725098
33,*,1.0750648975372314
34,*,0.6108231544494629
