ttl,ip,RTT
1,192.168.0.1,0.1481459140777588
2,*,1.0629172325134277
3,*,1.0511691570281982
4,*,1.0735363960266113
5,*,1.055044412612915
6,*,1.047391414642334
7,195.22.220.56,0.07900166511535645
8,89.221.41.1,0.20380115509033203
9,89.221.41.75,0.22166228294372559
10,*,1.066715955734253
11,*,1.0875349044799805
12,*,1.1400039196014404
13,*,1.0740759372711182
14,*,1.0590202808380127
15,64.86.226.57,0.22362661361694336
16,216.6.115.89,0.22293448448181152
17,64.86.31.42,0.23864221572875977
18,184.107.2.50,0.23106098175048828
19,67.205.127.85,0.21077823638916016
20,184.107.35.137,0.2237551212310791
