ttl,ip,RTT
1,192.168.0.1,0.13704133033752441
2,*,1.0675296783447266
3,*,1.059387445449829
4,*,1.079655647277832
5,*,1.0551908016204834
6,*,1.0515086650848389
7,195.22.220.56,0.07955312728881836
8,89.221.35.145,0.21112513542175293
9,198.32.176.135,0.2074754238128662
10,209.191.65.19,0.26323533058166504
11,209.191.65.49,0.21175861358642578
12,66.196.67.111,0.23117733001708984
13,67.195.37.121,0.21563339233398438
14,98.136.159.240,0.2672262191772461
15,98.136.158.192,0.22690296173095703
16,98.137.11.163,0.23905396461486816
